R	53.334	-6.37868	A715	05 Oct 2021	A715\n15:05 - Galway to Dublin Heuston (-1 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P215	05 Oct 2021	P215\n16:25 - Portlaoise to Dublin Heuston (0 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P415	05 Oct 2021	P415\n17:30 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Park West and Cherry Orchard next stop Drumcondra	Northbound
R	53.3353	-6.45233	A512	05 Oct 2021	A512\n17:35 - Dublin Heuston to Waterford (1 mins late)\nDeparted Adamstown next stop Sallins	To Waterford
R	53.3353	-6.45233	D212	05 Oct 2021	D212\n17:27 - Dublin Heuston to Portlaoise (2 mins late)\nArrived Adamstown next stop Hazelhatch	To Portlaoise
R	53.3397	-6.23773	A610	05 Oct 2021	A610\n17:33 - Dublin Connolly to Rosslare Europort (4 mins late)\nDeparted Grand Canal Dock next stop Dun Laoghaire	Southbound
R	53.3397	-6.23773	E834	05 Oct 2021	E834\n17:05 - Bray to Malahide (2 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3433	-6.24829	E246	05 Oct 2021	E246\n17:10 - Malahide to Bray (5 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.347	-6.25425	D927	05 Oct 2021	D927\n17:00 - Bray to Maynooth (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Northbound
R	53.3531	-6.24591	E247	05 Oct 2021	E247\n17:20 - Howth to Bray (0 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3531	-6.24591	E934	05 Oct 2021	E934\n16:55 - Bray to Howth (2 mins late)\nDeparted Dublin Connolly next stop Clontarf Road	Northbound
R	53.3602	-7.79847	A710	05 Oct 2021	A710\n16:30 - Dublin Heuston to Galway (1 mins late)\nDeparted Clonydonnin next stop Athlone	To Galway
R	53.3632	-6.25908	D415	05 Oct 2021	D415\n17:32 - Grand Canal Dock to Newbridge (0 mins late)\nArrived Drumcondra next stop Park West and Cherry Orchard	Southbound
R	53.3632	-6.25908	P754	05 Oct 2021	P754\n17:10 - Maynooth to Dublin Connolly (-1 mins late)\nArrived Drumcondra next stop Dublin Connolly	Southbound
R	53.3704	-6.50598	A912	05 Oct 2021	A912\n17:10 - Dublin Connolly to Sligo (4 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3752	-6.31388	D926	05 Oct 2021	D926\n17:30 - Dublin Connolly to Maynooth (2 mins late)\nArrived Pelletstown next stop Ashtown	Northbound
R	53.3776	-6.39072	D925	05 Oct 2021	D925\n17:17 - Dublin Connolly to Longford (2 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.3777	-6.34591	D313	05 Oct 2021	D313\n17:25 - Docklands to M3 Parkway (4 mins late)\nDeparted Navan Road Parkway next stop Castleknock	Northbound
R	53.3786	-6.19131	D819	05 Oct 2021	D819\n16:50 - Bray to Drogheda (-2 mins late)\nDeparted Harmonstown next stop Malahide	Northbound
R	53.3786	-6.19131	E124	05 Oct 2021	E124\n17:30 - Malahide to Greystones (1 mins late)\nArrived Harmonstown next stop Killester	Southbound
R	53.387	-6.16163	E833	05 Oct 2021	E833\n16:34 - Greystones to Malahide (0 mins late)\nArrived Kilbarrack next stop Howth Junction	Northbound
R	53.387	-6.16163	P619	05 Oct 2021	P619\n17:00 - Drogheda to Dublin Pearse (0 mins late)\nDeparted Kilbarrack next stop Dublin Connolly	Southbound
R	53.392	-6.11448	E248	05 Oct 2021	E248\n17:40 - Howth to Bray (1 mins late)\nDeparted Sutton next stop Bayside	Southbound
R	53.392	-6.11448	E933	05 Oct 2021	E933\n16:35 - Bray to Howth (0 mins late)\nDeparted Sutton next stop Howth	Northbound
T	53.3223	-6.52356	D414	05 Oct 2021	D414\n16:59 - Grand Canal Dock to Hazelhatch(-1 mins late)\nTERMINATED Hazelhatch at 17:42	Southbound
T	53.3397	-6.23773	P414	05 Oct 2021	P414\n16:58 - Hazelhatch to Grand Canal Dock(1 mins late)\nTERMINATED Grand Canal Dock at 17:39	Northbound
T	53.3509	-6.23929	P321	05 Oct 2021	P321\n17:10 - M3 Parkway to Docklands(-3 mins late)\nTERMINATED Docklands at 17:44	Southbound
T	53.3531	-6.24591	P753	05 Oct 2021	P753\n16:59 - Maynooth to Dublin Connolly(-1 mins late)\nTERMINATED Dublin Connolly at 17:43	Southbound
